address,candidate_labels,cluster_id,cluster_suggested_label,final_label,tx_count,unique_senders,unique_receivers,interacts_with_contract,first_block,last_block,alchemy_notes,final_label_updated,review_reason,tx_count_num,unique_senders_num,unique_receivers_num,interacts_with_contract_bool,first_block_int,last_block_int,approx_lifetime_blocks,auto_confidence
0x2a6d8021861f27ab992572d8689017b7a83c989d,"phishing,wash",-1,high_value_outlier,phishing,100,95,1,TRUE,0x4c680c,0x4c6a19,"interacts_with_contract=True, tx_count=100 → rug_pull candidate; override by candidate_labels containing 'wash'; override by candidate_labels containing 'phishing'",phishing,auto-rule,100,95,1,True,5007372.0,5007897.0,525.0,high
0x434e9f6a1ac134fda3e7ceb3fd67c3d9b3518737,unknown,-1,high_value_outlier,mixer,100,67,1,TRUE,0x4196e2,0x41cefc,"interacts_with_contract=True, tx_count=100 → rug_pull candidate",rug_pull,auto-rule,100,67,1,True,4298466.0,4312828.0,14362.0,medium
0x5b67a30108e1a5f3d5a809d57e76cd16fdfde7a7,wash,-1,high_value_outlier,mixer,100,9,1,TRUE,0x3cae21,0x41424e,"interacts_with_contract=True, tx_count=100 → rug_pull candidate; override by candidate_labels containing 'wash'",wash,auto-rule,100,9,1,True,3976737.0,4276814.0,300077.0,high
0xd585209338fdc9eaa15ec3a2b7ec589fc99b9c5d,"phishing,wash",-1,high_value_outlier,mixer,100,94,1,TRUE,0x4e221b,0x4fe5b2,"interacts_with_contract=True, tx_count=100 → rug_pull candidate; override by candidate_labels containing 'wash'; override by candidate_labels containing 'phishing'",phishing,auto-rule,100,94,1,True,5120539.0,5236146.0,115607.0,high
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,unknown,-1,high_value_outlier,mixer,96,39,1,TRUE,0x3cae15,0x9640cf,"interacts_with_contract=True, tx_count=96 → rug_pull candidate",rug_pull,auto-rule,96,39,1,True,3976725.0,9846991.0,5870266.0,medium
0x93574d7c405717d80520944ee1cb72d327b01df5,phishing,-1,high_value_outlier,phishing,53,50,1,TRUE,0x4b55ef,0x4b8c73,"interacts_with_contract=True, tx_count=53 → rug_pull candidate; override by candidate_labels containing 'phishing'",phishing,auto-rule,53,50,1,True,4937199.0,4951155.0,13956.0,high
0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5,unknown,-1,high_value_outlier,mixer,50,22,1,TRUE,0x579b3f,0xed4f0e,"interacts_with_contract=True, tx_count=50 → rug_pull candidate",rug_pull,auto-rule,50,22,1,True,5741375.0,15552270.0,9810895.0,medium
0x181c71726f12ce2514e8b93019eb22645a79f966,unknown,-1,high_value_outlier,mixer,36,23,1,TRUE,0x4afa92,0xfec633,"interacts_with_contract=True, tx_count=36 → rug_pull candidate",rug_pull,auto-rule,36,23,1,True,4913810.0,16696883.0,11783073.0,medium
0x3de08b35c0e7f255f37a5dace9bd8eb78e99e985,unknown,-1,high_value_outlier,mixer,29,28,1,TRUE,0x41a923,0xed4f0e,"interacts_with_contract=True, tx_count=29 → rug_pull candidate",rug_pull,auto-rule,29,28,1,True,4303139.0,15552270.0,11249131.0,medium
0x0669398307efefb60030ff328a0cb6a3a840182c,unknown,-1,high_value_outlier,mixer,26,9,1,TRUE,0x6fd30f,0x73413b,"interacts_with_contract=True, tx_count=26 → rug_pull candidate",rug_pull,auto-rule,26,9,1,True,7328527.0,7553339.0,224812.0,medium
0x1bbeed1e4ad3c102a58129c65f4e04c4c67009af,unknown,-1,high_value_outlier,mixer,16,13,1,TRUE,0x52ae25,0x6c4c27,"interacts_with_contract=True, tx_count=16 → rug_pull candidate",rug_pull,auto-rule,16,13,1,True,5418533.0,7097383.0,1678850.0,medium
0xeeb70fd96f6c8838aeffb9d8dc042eab97b1bb09,unknown,-1,high_value_outlier,mixer,13,12,1,TRUE,0x524929,0x76439a,"interacts_with_contract=True, tx_count=13 → rug_pull candidate",rug_pull,auto-rule,13,12,1,True,5392681.0,7750554.0,2357873.0,medium
0x4423b4d5174dd6fca701c053bf48faeaaaee59f0,unknown,-1,high_value_outlier,mixer,7,6,1,TRUE,0x3e440a,0x5f891c,"interacts_with_contract=True, tx_count=7 → rug_pull candidate",rug_pull,auto-rule,7,6,1,True,4080650.0,6261020.0,2180370.0,medium
0xf17ba6d6ac0c9e691aa530482d616a4120134a17,unknown,-1,high_value_outlier,mixer,7,7,1,TRUE,0x3eb4ed,0xb56c6f,"interacts_with_contract=True, tx_count=7 → rug_pull candidate",rug_pull,auto-rule,7,7,1,True,4109549.0,11889775.0,7780226.0,medium
0x4bc2055440dd519fa4d448d2d6899e6604aaedc5,unknown,-1,high_value_outlier,mixer,5,4,1,TRUE,0x549623,0x76439a,"interacts_with_contract=True, tx_count=5 → rug_pull candidate",rug_pull,auto-rule,5,4,1,True,5543459.0,7750554.0,2207095.0,medium
0xf8e676094628776690dbf83fa31f08aa14fd3fb8,unknown,-1,high_value_outlier,mixer,3,3,1,TRUE,0x40d419,0x4480e3,"interacts_with_contract=True, tx_count=3 → rug_pull candidate",rug_pull,auto-rule,3,3,1,True,4248601.0,4489443.0,240842.0,medium
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,unknown,-1,high_value_outlier,mixer,2,2,1,TRUE,0x3dbf85,0x3dc889,"interacts_with_contract=True, tx_count=2 → rug_pull candidate",rug_pull,auto-rule,2,2,1,True,4046725.0,4049033.0,2308.0,medium
0xf91446ead6aadd4321602b5790a6db4d6f2a1930,unknown,2,ponzi,ponzi,1,1,1,TRUE,0x603125,0x603125,"interacts_with_contract=True, tx_count=1 → rug_pull candidate",rug_pull,auto-rule,1,1,1,True,6304037.0,6304037.0,0.0,medium
0x07faacbe52a8b5d3d22f49206bdd9d9c1f71991d,unknown,0,rug_pull,rug_pull,1,1,1,TRUE,0x4e65c5,0x4e65c5,"interacts_with_contract=True, tx_count=1 → rug_pull candidate",rug_pull,auto-rule,1,1,1,True,5137861.0,5137861.0,0.0,medium
0xc25ab34e7f3a1eb2c6a3a23df851f351df0e712a,unknown,2,ponzi,ponzi,1,1,1,TRUE,0x52d29e,0x52d29e,"interacts_with_contract=True, tx_count=1 → rug_pull candidate",rug_pull,auto-rule,1,1,1,True,5427870.0,5427870.0,0.0,medium
0xa9072b454364d1e767f8cc006eb53ff59bc95587,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa69ea6ab7707c551eeae1d443e179318a9dc73ee,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa902a214fdc137cf9dbc6d455d02e6e4ea2aca36,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa8eb559eeb38c6cb6a8bc6c39badd86b113cd875,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa6b60dd3be491aafe5aba8622b35c0ead608d3fd,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa8cf72c86c3139e5fcd98f42586ef5596bbad182,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa8afa9a714e06b9eb1b500617494ac213f2d428a,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa6ba0996684fcff6167128a13c8b0a1648310e6e,unknown,0,rug_pull,rug_pull,,,,,,,fallback cluster 0 → rug_pull,rug_pull,auto-rule,0,0,0,False,,,,low
0xa8a6497978c264d7ce268d826a834c1d7134d914,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
0xa87149fc85936e6807222fb211162d5be440a930,unknown,1,phishing,phishing,,,,,,,fallback cluster 1 → phishing,phishing,auto-rule,0,0,0,False,,,,low
